emotion_class,cleaned_text
anger,နား မ လည် ဘူး လား
joy,ရုပ် ရှင် ကြည့် ရ လို့ ပျော် တယ်
natural,စိတ် ထဲ မှာ ဘာ ကို မှ လို ချင် တော မက် စိတ် မ ရှိ ဘဲ လော လော ဆယ် ရှိ နေ တဲ့ အ ခြေ အ နေ လေး ပေါ် မှာ တင် ကျေ နပ် နှစ် သက် နေ မိ တယ်
joy,အ ပူ အ ပင် မ ရှိ တော့ ဘူး
joy,ပြုံး မိ တာ
natural,စိတ် ထဲ က စိုး ရိမ် ပူ ပန် မှု တွေ နဲ့ သံ သ ယ တွေ ကို အား လုံး လွှတ် ချ လိုက် နိုင် တဲ့ အ ခါ ဘ ဝ က တ ကယ့် ကို ရိုး ရှင်း ပြီး နေ ပျော် လာ တယ်
natural,ဘာ မှ ထပ် မ လို ချင် တော့ တဲ့ စိတ်
natural,စိတ် ပူ ပန် စ ရာ တွေ အား လုံး ကို ခ ဏ လောက် မေ့ ထား လိုက် ပြီ
anger,ဒေါ သ တွေ ထိန်း မ ရ တော့ ဘူး
joy,ပီ တိ လျှံ
love,အ ရင် လို ပြန် မ ဖြစ် နိုင် တော့ ဘူး ပေါ့
suprise,မ ယုံ နိုင် စ ရာ ကောင်း လောက် အောင် အ ဆင် ပြေ သွား တာ
joy,ပေါ့ ပါး လန်း ဆန်း နေ တာ ပဲ
joy,ပြုံး ပြ လို့ ပျော် တယ်
fear,ရှုံး နိမ့် မှာ ကို ကြောက် တယ်
joy,ကြည် နူး ပီ တိ
love,ဘာ မှ ဖြစ် မ လာ တော့ တဲ့ အ တိတ် ကို လွမ်း နေ မိ တယ်
love,အ ပယ် ခံ ခံ စား ချက်
fear,နောက် ကျ မှာ ကို တွေး ပြီး အ လော တ ကြီး ကြောက် နေ တာ
suprise,ဟယ် ... အဲ လို ကြီး လား !
fear,အ သက် ကို ခိုး ရှူ နေ ရ တယ်
fear,ပိုက် ဆံ မ ရှိ တော့ မှာ ကို အ မြဲ တမ်း စိုး ရိမ် တယ်
suprise,ထင် မှတ် မ ထား တဲ့ Surprise အ ကြီး ကြီး ပဲ !
joy,ကိုယ့် ကို နား လည် ပေး မယ့် သူ ရှိ နေ တာ တ ကယ့် ဆု လာဘ် ပဲ
suprise,မ ထင် မှတ် ထား တဲ့ ပျော် ရွှင် မှု ကြောင့် ရင် ထဲ မှာ အ ပြည့် အ ဝ အံ့ ဩ ဝမ်း သာ ဖြစ် ရ တဲ့ နေ့
sadness,သေ ချာ တာ တစ် ခု က တော့ ငါ့ မှာ မင်း မ ရှိ တော့ ဘူး
sadness,အ ရင် လို မ ရယ် မော နိုင် တော့ ဘူး
fear,တ ကယ် ကြောက် တာ ပါ
joy,အ ဆင် ပြေ ချော မွေ့
fear,နောက် က လိုက် လာ သ လို ပဲ
anger,ကြည့် မ ရ ဘူး
suprise,ဟာ ... ကြည့် စမ်း ၊ တ ကယ် ကြီး ဖြစ် လာ ပြီ
anger,နည်း နည်း မှ အား ကိုး လို့ မ ရ ဘူး
joy,လက် ခုပ် တီး ချင် လောက် အောင် ပဲ
love,နှ လုံး သား တစ် ခု လုံး ကွဲ အက် သွား သ လို ပဲ
fear,မ ခေါ် ပါ နဲ့
joy,ဘ ဝ က တ ကယ့် ကို နေ ချင် စ ရာ ကောင်း လိုက် တာ
anger,စ ကား ကို ဖြတ် မ ပြော နဲ့
anger,ရွံ စ ရာ ကြီး
love,သူ များ တွေ ပျော် နေ တာ မြင် ရင် ပို ဝမ်း နည်း ရ တယ်
joy,လန်း ဆန်း တက် ကြွ
love,ကူ ညီ မယ့် သူ မ ရှိ ဘူး
fear,နောက် ပြန် မ လှည့် ရဲ ဘူး
joy,စိတ် အေး သွား ပြီ
natural,ကိုယ့် ကိုယ် ကိုယ် အ ချိန် ပေး ဖြစ် တဲ့ နေ့
joy,မျက် နှာ ပွင့် လန်း သွား တာ ပဲ
joy,စိတ် အေး ရ ပြီ
fear,စာ မေး ပွဲ ကျ မှာ ကို တွေး ပြီး ရင် တုန် နေ ပြီ
natural,နေ ရ တာ သက် တောင့် သက် သာ
joy,စိတ် ချမ်း သာ
fear,ဒီ အ ခြေ အ နေ ကြီး က နေ လွတ် မြောက် ချင် ပြီ
love,နှုတ် ဆက် စ ကား တောင် မ ပြော နိုင် ခဲ့ ကြ ဘူး
fear,ရေ နက် ထဲ ဆင်း ရ မှာ ကြောက် တယ်
natural,စိတ် အ ပန်း ပြေ သွား ပြီ
natural,သ ဘာ ဝ အ လှ တ ရား
natural,စိတ် အေး ရ တဲ့ နေ့
fear,အ ချိန် မ မှီ မှာ ကို ကြောက် တယ်
love,မျှော် လင့် ခြင်း ကင်း မဲ့ တဲ့ မ နက် ခင်း
suprise,ဟား ... ဒါ က တော့ လုံး ဝ ကွက် တိ ပဲ ၊ အံ့ ဩ သွား တာ ပဲ
fear,ကယ် ကြ ပါ ဘု ရား
fear,ရန် ဖြစ် မှာ ကို ကြောက် တယ်
joy,စိတ် ကျေ နပ် မှု အ ပြည့်
joy,ဘာ လို သေး လဲ
natural,စိတ် အေး လက် အေး ရှိ နေ တာ ဇိမ် ပဲ
natural,အိပ် ရာ နိုး ရ တာ လန်း ဆန်း လိုက် တာ
natural,စိတ် အေး လက် အေး
natural,သီ ချင်း အေး အေး လေး က စိတ် ကို ကု စား ပေး တယ်
love,အ ထီး ကျန် ခြင်း က ငါ့ အ ဖော်
natural,ဘ ဝ ကို ကျေ နပ် စွာ ဖြတ် သန်း ခြင်း
natural,အေး ချမ်း တဲ့ မ နက် ခင်း လေး
joy,စိတ် အ နှောင့် အ ယှက် တွေ အား လုံး ယူ ပစ် သ လို ပျောက် ကွယ် သွား ပြီ
fear,ခေါင်း ထဲ မှာ အ ဆိုး မြင် အ တွေး တွေ ပဲ တ ရ စပ် ဝင် လာ ပြီး ကြောက် စိတ် ကြောင့် ဘာ မှ ဆက် မ လုပ် ရဲ တော့ ဘူး
natural,ဘာ အ ပူ မှ မ ရှိ တဲ့ နေ့ ရက် များ
fear,လူ တွေ အား လုံး ငါ့ ကို ဝိုင်း ကြည့် နေ သ လို ပဲ
fear,အ ဝေး မှာ နေ ပါ
love,ဘယ် တော့ မှ ပြန် မ လာ တော့ မယ့် အ ရာ တွေ
natural,ကိုယ့် အ ချိန် နဲ့ ကိုယ်
fear,ပိုး ဟပ် မြင် ရင် ကြောက် တယ်
love,အိပ် မက် တွေ က ပျက် စီး သွား ပြီ
fear,ဟင် ၊ ဘာ သံ လဲ
joy,ကံ ကောင်း ခြင်း
natural,ရင် ထဲ ငြိမ်း ချမ်း သွား တာ ပဲ
fear,အ သံ ဗ လံ တွေ ကြား ရ တိုင်း လန့် လန့် သွား တယ်
natural,ရင် ထဲ မှာ ဘာ သံ သ ယ မှ မ ရှိ ဘဲ ရှင်း ရှင်း လင်း လင်း ရှိ နေ တာ
fear,ရင် ဘတ် ဖိ ထား ရ တယ်
natural,ဇိမ် ကျ လိုက် တာ
sadness,စိတ် တွေ လေ လွင့် နေ တယ်
natural,လွတ် လပ် မှု အ ပြည့် ပဲ
joy,လေ ညှင်း ခံ ရ လို့ ပျော် တယ်
sadness,နှုတ် မ ဆက် ဘဲ ထွက် ခွာ သွား ကြ တယ်
fear,သူ တစ် ပါး ရဲ့ ဒေါ သ တ ကြီး အော် ဟစ် သံ တွေ ကို ကြား ရ တဲ့ အ ခါ တိုင်း ငယ် ငယ် က အ ကြောက် တ ရား တွေ ပြန် ပေါ် လာ တယ်
sadness,ဘာ ကြောင့် မှန်း မ သိ ဘဲ ဝမ်း နည်း နေ တဲ့ ည နေ ခင်း
joy,သာ ယာ ချက်
natural,သ ဘာ ဝ အ သံ တွေ က သာ ယာ လိုက် တာ
anger,အ ဝေး ဆုံး ကို လွင့် သွား စမ်း
joy,ကံ ကောင်း လို့ ပျော် တယ်
joy,သူ တစ် ပါး ကို ကူ ညီ လိုက် ရ လို့ စိတ် ထဲ ကြည် နူး ပီ တိ ဖြစ် ရ တယ်
joy,ပျော် ရွှင် စ ရာ
natural,စိတ် အ ပြောင်း အ လဲ လေး
love,မျက် ရည် တွေ က ခေါင်း အုံး ပေါ် မှာ အ စွန်း အ ထင်း တွေ ဖြစ် လို့
natural,အေး ချမ်း ခြင်း က ဒီ မှာ တင် ပဲ
anger,တစ် ခု မှ အ ဆင် မ ပြေ ဘူး
joy,ပျော် ရွှင် စ ရာ အ မှတ် တ ရ တွေ တိုး လာ ပြန် ပြီ
joy,စိတ် ကျေ နပ်
fear,ည ဘက် လမ်း မီး မ ရှိ တဲ့ လမ်း ကြား ထဲ တစ် ယောက် တည်း လျှောက် ရ တာ က တ ကယ့် ကို သွေး ပျက် စ ရာ ည တစ် ည ပဲ
fear,ကိုယ့် ရဲ့ အား နည်း ချက် တွေ ကို သူ တ ပါး သိ သွား ပြီး လှောင် ပြောင် ကြ မှာ ကို သေ မ တတ် ကြောက် မိ တာ အ မှန် ပဲ
fear,မိုး ခြိမ်း ရင် လန့် တတ် တယ်
fear,ဒီ ည တော့ မီး ဖွင့် ပြီး ပဲ အိပ် တော့ မယ်
natural,ဘ ဝ က ဒီ လို ပဲ အေး ဆေး ပေါ့
natural,စိတ် ကူး တွေ ယဉ် လို့ ကောင်း တုန်း
joy,က လေး လေး တွေ ရိုး ရိုး သား သား နဲ့ အော် ဟစ် ရယ် မော နေ တာ ကြည့် ပြီး ပျော် တာ
natural,အေး အေး လူ လူ ရှိ နေ တယ်
anger,တ မင် သက် သက် လုပ် နေ တာ လား
joy,ကြိုး စား ထား တဲ့ စာ မေး ပွဲ မှာ အ မှတ် ကောင်း ကောင်း နဲ့ အောင် မြင် သွား တဲ့ နေ့
joy,သူ ငယ် ချင်း တွေ နဲ့ အ တူ တောင် တက် ရင်း ထိပ် ဆုံး ကို ရောက် သွား တဲ့ အ ချိန် ခံ စား ရ တဲ့ အောင် ပွဲ က ရင် ခုန် စ ရာ ပဲ
love,အား ကိုး ရာ မဲ့ နေ တဲ့ ခံ စား ချက် ကြီး
joy,စိတ် လှုပ် ရှား စ ရာ ကောင်း လိုက် တာ
natural,စိတ် ကျေ နပ် မှု ရှိ တယ်
joy,သီ ချင်း နား ထောင် ရ လို့ ပျော် တယ်
natural,စာ အုပ် ကောင်း တစ် အုပ် နဲ့ တင် နေ့ လယ် ခင်း က ပြီး ပြည့် စုံ တယ်
joy,ပိတ် ရက် မှာ အိပ် ရေး ဝ ဝ အိပ် လိုက် ရ လို့ စိတ် ကြည် လင် နေ တာ
natural,အေး အေး ဆေး ဆေး ပါ ပဲ
joy,ပျော် လိုက် တာ
anger,တော် တော် လွန် သွား ပြီ
anger,စိတ် ပျက် စ ရာ လူ တန်း စား
love,မျှော် လင့် ချက် ဆို တာ ငါ နဲ့ မ ထိုက် တန် တဲ့ အ ရာ
suprise,တ ကယ် ကြီး ဖြစ် သွား တာ လား ... မ ယုံ နိုင် ဘူး
anger,ငါ့ ဘ ဝ ထဲ က ထွက် သွား
joy,အား လုံး အ ဆင် ပြေ လို့ ပျော် တယ်
fear,ပိုက် ဆံ ပြတ် လပ် မှာ ကို ကြောက် တယ်
sadness,မျှော် လင့် ခြင်း ရဲ့ နောက် ဆက် တွဲ က နာ ကျင် မှု
anger,ငါ အ ခု ဒေါ သ ထွက် နေ တယ်
sadness,စိတ် ပျက် မိ တယ်
joy,အ ပူ အ ပင် ကင်း
natural,စိတ် အေး လက် အေး ရှိ တယ်
fear,လက် ဖျား ခြေ ဖျား တွေ အေး လို့
sadness,အ ရာ ရာ က ပြီး ဆုံး သွား ခဲ့ ပြီ လေ
love,အ ရာ ရာ ကို လက် လျှော့ လိုက် ချင် ပြီ
anger,အ ဓိပ် ပာယ် မ ရှိ တာ တွေ
natural,ရင် ထဲ မှာ ဘာ အ ပူ မှ မ ရှိ တဲ့ ခံ စား ချက်
natural,စာ အုပ် တစ် အုပ် နဲ့ တင် စိတ် အ ပန်း ပြေ တယ်
fear,ပြေး ကြ စို့
joy,ရင် ထဲ က ပီ တိ တွေ လှိုက် တက် လာ တာ
natural,စိတ် ချမ်း သာ စ ရာ
joy,စိတ် ကူး ယဉ် ခဲ့ တဲ့ ခ ရီး စဉ် လေး ကို တ ကယ့် လက် တွေ့ သွား ရ တော့ မယ့် အ ချိန်
joy,စိတ် အ ပန်း ပြေ သွား တယ်
anger,အ ခု ချက် ချင်း ရပ် လိုက်
love,ဒီ အ တိုင်း ပျောက် ကွယ် သွား ချင် တယ်
joy,စိတ် ကျေ နပ် မှု အ ပြည့် ပဲ
fear,လူ ကြီး တွေ ဆူ မှာ ကို ကြောက် နေ ရ တာ
suprise,အံ့ ဩ လွန်း လို့ သွေး တောင် တက် ချင် ချင် ပဲ
anger,ဘာ လဲ ဗျာ
suprise,ဝိုး ... ဒီ Surprise က တော့ လုံး ဝ ကို ထိ မိ တယ်
joy,လူ သား တစ် ယောက် အ နေ နဲ့ ဒီ ကမ် ဘာ ပေါ် မှာ အ သုံး ဝင် ပြီး အ ကျိုး ရှိ ရှိ ရှင် သန် နေ ရ တယ် လို့ ခံ စား ရ တဲ့ အ ချိန်
natural,ရိုး ရိုး လေး ပဲ ကောင်း ပါ တယ်
joy,ကြည် နူး စ ရာ လေး
sadness,အ တိတ် ရဲ့ အ ရိပ် တွေ က ခြောက် လှန့် နေ တုန်း ပဲ
fear,ဆေး ရုံ သွား ရ မှာ ကို ကြောက် တယ်
anger,စိတ် ဆိုး တာ မ ဟုတ် ဘူး ၊ ဒေါ သ ထွက် တာ
suprise,ဟား ... ဒါ မျိုး ကျ တော့ လည်း ရင် ခုန် စ ရာ ကြီး ဗျာ
joy,မိုး ရွာ နေ တုန်း အိမ် မှာ စောင် လေး ခြုံ ပြီး စာ အုပ် ဖတ် ရ တဲ့ အ ရ သာ
anger,အ လုပ် မ ရှုပ် နဲ့
anger,ဖယ် စမ်း ပါ
love,ဝမ်း နည်း ရ လွန်း လို့ ရင် ဘတ် ကြီး က လေး လံ နေ တယ်
suprise,ဝါး ... ဒါ က တော့ ကမ် ဘာ ပေါ် မှာ အ မိုက် ဆုံး Surprise ပဲ
fear,အား လုံး ဆုံး ရှုံး မှာ ကို ကြောက် တယ်
love,ဒီ နေ့ လည်း စိတ် ညစ် စ ရာ တွေ နဲ့ ပဲ ပြီး သွား ပြန် ပြီ
anger,လေ သံ ကို က စိတ် တို စ ရာ
anger,လာ မ စမ်း နဲ့
sadness,နှ လုံး သား က အေး စက် သွား ပြီ
joy,စိတ် တိုင်း ကျ ပဲ
natural,အ ကြံ အ ဖန် မ ရှိ ရှင်း လင်း တယ်
suprise,လုံး ဝ ကို အံ ဩ ပြီး ကျောက် ရုပ် လို ဖြစ် သွား တယ်
natural,ဘာ မှ ပြိုင် ဆိုင် မ နေ ရ တာ လွတ် လပ် တယ်
fear,မီး ဖွင့် ပေး ပါ ဦး
joy,ကြည် နူး စ ရာ နေ့ ရက်
joy,မ နက် ခင်း ကော် ဖီ ပူ ပူ လေး သောက် ရင်း စိတ် ကူး တွေ လန်း ဆန်း လာ တဲ့ အ ချိန်
natural,အ ဆင် ပြေ ပြေ ပါ ပဲ
anger,လာ မ ပတ် သက် နဲ့ တော့
natural,စိတ် ကျေ နပ် စ ရာ ပဲ
joy,ကိုယ် ပေး လိုက် တဲ့ လက် ဆောင် ကို သူ ငယ် ချင်း က သ ဘော ကျ လို့ ကြည် နူး ရ တာ
suprise,လုံး ဝ ထင် မှတ် မ ထား တဲ့ ရ လဒ် ပဲ ဗျာ
natural,စိတ် ထဲ အေး ချမ်း လို့ ကောင်း လိုက် တာ
fear,မီး ပျက် ရင် တုန် လှုပ် မိ တယ်
joy,ရင် ထဲ အေး
fear,အ နာ ဂတ် ကို တွေး ပြီး ကြောက် တယ်
anger,မင်း က ဘာ မို့ လို့ လဲ
joy,ချီး ကျူး ခံ ရ လို့ ပျော် တယ်
fear,လမ်း ပျောက် မှာ ကို ကြောက် တယ်
joy,ဝမ်း မြောက် မိ တယ်
fear,ခြောက် ခြား စ ရာ
love,ရင် ထဲ မှာ ဟာ လာ ဟင်း လင်း ပဲ
natural,စိတ် ထဲ မှာ ရှင်း လင်း ပြီး လန်း ဆန်း လို့
love,နှုတ် ဆက် ခဲ့ ပါ တယ်
sadness,လူ ပို ကြီး ဖြစ် နေ သ လို ပဲ
love,ဘာ ကြောင့် ဒီ လောက် ထိ ခံ စား ရ လဲ မ သိ တော့ ဘူး
fear,ပြေး မှ ဖြစ် မယ်
anger,ပြော လို့ ကို မ ရ ဘူး
joy,ထင် မှတ် မ ထား တဲ့ အ ပျော်
natural,စိတ် ထဲ မှာ ကြည် လင် ရွှင် လန်း နေ တဲ့ နေ့ တစ် နေ့
fear,လက် တွေ တုန် နေ လို့
joy,အ ဝတ် သစ် ဝတ် ရ လို့ ပျော် တယ်
natural,ဟန် ချက် ညီ တယ်
love,စိတ် ပျက် စ ရာ တွေ ချည်း ပဲ
fear,အ ဆင် မ ပြေ မှာ ကို တွေး ပြီး ကြောက် နေ မိ တာ
natural,ဘာ မှ တွေး မ ပူ ဘဲ အေး ဆေး နေ လိုက် မယ်
joy,စိတ် ပင် ပန်း သ မျှ အား လုံး ကို သား သ မီး လေး တွေ ရဲ့ ချစ် စ ရာ အ ပြုံး တွေ က ချက် ချင်း ယူ ပစ် သ လို ပျောက် ကွယ် စေ တယ်
natural,စိုး ရိမ် စိတ် တွေ ပျောက် ပြီ
sadness,ရင် ထဲ မှာ ဟာ လာ ဟင်း လင်း ဖြစ် သွား တယ်
natural,သီ ချင်း လေး နဲ့ တိမ် တွေ ကို ငေး နေ တာ
joy,ကောင်း လိုက် တာ
fear,လူ အုပ် ကြီး ကို ကြောက် တယ်
joy,စိတ် ရွှင် လန်း
fear,ရင် ဘတ် ထဲ မ ကောင်း ဘူး
natural,မိုး ဖွဲ ဖွဲ လေး ရွာ နေ တဲ့ အ ချိန် မှာ ပြ တင်း ပေါက် နား ထိုင် ပြီး စာ ဖတ် ရ တဲ့ အ ရ သာ က ဘာ နဲ့ မှ မ လဲ နိုင် တဲ့ သ ဘာ ဝ အ လှ တ ရား ပဲ
natural,ဒီ အ တိုင်း လေး ပဲ အ ဆင် ပြေ ပါ တယ်
fear,ရော ဂါ ဖြစ် မှာ ကို တွေး ပြီး အ မြဲ ကြောက် နေ ရ တယ်
natural,တစ် နေ့ တာ လုံး အေး ဆေး ပါ ပဲ
joy,စိတ် ရွှင် မြူး
joy,အိပ် မက် ဆန်း လေး
natural,အ ပင် လေး တွေ ကြီး လာ တာ ကြည့် ပြီး ပျော် တယ်
anger,အ ရာ ရာ က က မောက် က မ တွေ ချည်း ပဲ
joy,အိပ် ရာ ဝင် ရ လို့ ပျော် တယ်
joy,အောင် မြင် မှု အ ရ သာ
joy,ဘ ဝ ရဲ့ သာ ယာ မှု တွေ ကို အ ပြည့် အ ဝ ခံ စား နေ ရ တဲ့ နေ့
anger,ကန် ထုတ် ချင် စိတ် ပေါက် တယ်
anger,စိတ် ပျက် လွန်း လို့ သေ တော့ မယ်
fear,ဘာ မှန်း မ သိ တဲ့ အ ရာ ကို ကြောက် နေ ရ တာ ပို ဆိုး တယ်
